FILTER,WAVELENGTH,APER#0.04,APER#0.08,APER#0.12,APER#0.16,APER#0.20,APER#0.24,APER#0.28,APER#0.32,APER#0.36,APER#0.40,APER#0.44,APER#0.48,APER#0.51,APER#0.55,APER#0.59,APER#0.63,APER#0.67,APER#0.71,APER#0.75,APER#0.79,APER#0.83,APER#0.87,APER#0.91,APER#0.95,APER#0.99,APER#1.03,APER#1.07,APER#1.11,APER#1.15,APER#1.19,APER#1.23,APER#1.27,APER#1.31,APER#1.35,APER#1.39,APER#1.43,APER#1.47,APER#1.50,APER#1.54,APER#1.58,APER#1.62,APER#1.66,APER#1.70,APER#1.74,APER#1.78,APER#1.82,APER#1.86,APER#1.90,APER#1.94,APER#1.98,APER#6.0
F390W,3923.6865215032103,0.2648,0.58766,0.74047,0.79925,0.83278,0.85638,0.87322,0.88491,0.89311,0.89963,0.90486,0.90916,0.91293,0.91617,0.919,0.92166,0.92437,0.92714,0.92986,0.93254,0.93519,0.93784,0.94044,0.94301,0.94557,0.94806,0.95047,0.95283,0.95519,0.95748,0.95972,0.96192,0.96407,0.96617,0.96819,0.97003,0.9721,0.97404,0.97526,0.97648,0.97769,0.97891,0.98013,0.98135,0.98256,0.98378,0.985,0.98622,0.98744,0.98865,1.0
F395N,3955.191796274479,0.26566,0.59168,0.74334,0.79974,0.8322,0.85507,0.87232,0.88441,0.89279,0.89915,0.90398,0.90815,0.91215,0.91522,0.91793,0.92053,0.92305,0.92577,0.92844,0.93147,0.93403,0.93638,0.93862,0.94125,0.94397,0.94626,0.94845,0.95086,0.95325,0.95589,0.95843,0.961,0.96339,0.96602,0.96835,0.96972,0.97175,0.97367,0.97491,0.97615,0.97739,0.97863,0.97987,0.9811,0.98234,0.98358,0.98482,0.98606,0.9873,0.98854,1.0
F410M,4108.99062813461,0.15228,0.42372,0.64612,0.76939,0.82322,0.84987,0.86897,0.88319,0.89358,0.90122,0.90688,0.91152,0.91527,0.91889,0.9222,0.92491,0.92727,0.92955,0.93185,0.93422,0.93653,0.9385,0.94084,0.94331,0.94557,0.94778,0.94993,0.95207,0.95407,0.95621,0.95885,0.96141,0.9637,0.96581,0.96803,0.96913,0.97104,0.97285,0.97411,0.97537,0.97663,0.97789,0.97915,0.9804,0.98166,0.98292,0.98418,0.98544,0.9867,0.98796,1.0
F438W,4326.232838665659,0.26532,0.5886,0.74645,0.80633,0.83846,0.86124,0.87798,0.89064,0.89933,0.90589,0.91149,0.91595,0.91972,0.9232,0.9262,0.92868,0.93085,0.9329,0.93504,0.93728,0.93951,0.94165,0.94369,0.94571,0.94777,0.94991,0.95204,0.95408,0.95604,0.9579,0.9597,0.9615,0.96337,0.96525,0.96708,0.96877,0.97052,0.9722,0.97344,0.97468,0.97593,0.97717,0.97841,0.97965,0.98089,0.98214,0.98338,0.98462,0.98586,0.9871,1.0
F467M,4682.576886667674,0.27017,0.59906,0.75568,0.81123,0.84006,0.86201,0.87822,0.89155,0.90226,0.90955,0.91543,0.92031,0.9241,0.92756,0.93075,0.93328,0.93548,0.93747,0.93922,0.94099,0.94276,0.94446,0.9465,0.94853,0.95028,0.95193,0.95363,0.9554,0.9572,0.95892,0.96049,0.96199,0.96365,0.96509,0.96649,0.96817,0.96967,0.97112,0.97234,0.97355,0.97476,0.97598,0.97719,0.9784,0.97962,0.98083,0.98204,0.98326,0.98447,0.98569,1.0
F469N,4688.102447889406,0.26677,0.58992,0.74737,0.80508,0.83512,0.85721,0.87402,0.88801,0.89887,0.90599,0.91191,0.91704,0.92099,0.92439,0.9277,0.9306,0.93287,0.93491,0.93721,0.93916,0.94136,0.94301,0.94507,0.94749,0.94938,0.95129,0.95307,0.95506,0.95689,0.95855,0.96034,0.96215,0.96374,0.96532,0.967,0.96816,0.96965,0.97111,0.97232,0.97353,0.97475,0.97596,0.97717,0.97839,0.9796,0.98081,0.98203,0.98324,0.98445,0.98567,1.0
F475W,4773.101640775901,0.26014,0.58156,0.74584,0.80882,0.83992,0.8621,0.87854,0.89106,0.90064,0.90777,0.91341,0.91816,0.92224,0.9257,0.92876,0.93147,0.9339,0.93611,0.93818,0.9402,0.94219,0.94408,0.94589,0.94769,0.94952,0.95137,0.95322,0.95498,0.9567,0.95841,0.9601,0.96175,0.9634,0.96505,0.96665,0.96802,0.96945,0.97085,0.97206,0.97326,0.97447,0.97568,0.97688,0.97809,0.9793,0.9805,0.98171,0.98292,0.98412,0.98533,1.0
F487N,4871.376030958392,0.15827,0.42583,0.64963,0.77564,0.83073,0.85756,0.87562,0.88929,0.89981,0.90785,0.91442,0.91985,0.9235,0.9266,0.92969,0.93293,0.93551,0.93797,0.94006,0.94169,0.94345,0.94501,0.94677,0.94838,0.9495,0.95121,0.95305,0.95536,0.95727,0.95937,0.9611,0.96282,0.96459,0.96557,0.96692,0.96786,0.96922,0.97056,0.97175,0.97295,0.97415,0.97535,0.97655,0.97775,0.97895,0.98015,0.98134,0.98254,0.98374,0.98494,1.0
F475X,4940.724388221561,0.19223,0.48378,0.67069,0.76086,0.80463,0.8289,0.84474,0.85641,0.86566,0.9078,0.88043,0.8866,0.89233,0.89788,0.90315,0.90822,0.91313,0.91794,0.92265,0.92718,0.9314,0.9353,0.93902,0.94249,0.94567,0.94868,0.95145,0.95391,0.95605,0.95814,0.96013,0.96192,0.96369,0.96531,0.96677,0.96784,0.96919,0.97052,0.97172,0.97291,0.97411,0.97531,0.97651,0.97771,0.9789,0.9801,0.9813,0.9825,0.9837,0.98489,1.0
F200LP,4971.860343351741,0.24127,0.56366,0.73812,0.80713,0.83967,0.86189,0.87868,0.89107,0.90052,0.90775,0.91346,0.91817,0.92225,0.92579,0.9288,0.93145,0.93377,0.93592,0.9381,0.94016,0.94219,0.94412,0.94598,0.94775,0.94953,0.95137,0.95323,0.95491,0.95662,0.95833,0.96003,0.96169,0.96329,0.96489,0.96651,0.96774,0.96906,0.97035,0.97154,0.97274,0.97393,0.97512,0.97632,0.97751,0.9787,0.9799,0.98109,0.98228,0.98348,0.98467,1.0
F502N,5009.637887849398,0.27817,0.59763,0.76017,0.81717,0.84479,0.86643,0.88188,0.8942,0.90466,0.91238,0.91786,0.92286,0.92713,0.93022,0.93342,0.93645,0.93891,0.94094,0.94282,0.94422,0.9456,0.94676,0.94795,0.94948,0.95139,0.95257,0.95335,0.95482,0.95653,0.95875,0.96079,0.96259,0.96407,0.96534,0.96656,0.96764,0.96891,0.97017,0.97135,0.97254,0.97372,0.9749,0.97609,0.97727,0.97846,0.97964,0.98083,0.98201,0.9832,0.98438,1.0
